,Area ID,count
0,12,31530
1,13,18530
2,14,27493
3,18,22248
4,6,33443
5,9,18270
6,16,8522
7,17,9791
8,5,10332
9,10,10151
10,1,39585
11,3,18101
12,7,12205
13,11,9372
14,15,17941
15,19,11514
16,20,15255
17,2,32453
18,4,8366
19,8,8991
20,21,14163
